year,month,date,weekday,hour,minute,gym,swim
2018,12,12,3,2,33,0,0
2018,12,12,3,2,34,0,0
2018,12,12,3,2,35,0,0
2018,12,12,3,2,36,0,0
2018,12,12,3,2,37,0,0
2018,12,12,3,2,38,0,0
2018,12,12,3,2,39,0,0
2018,12,12,3,2,40,0,0
2018,12,12,3,2,41,0,0
2018,12,12,3,2,42,0,0
2018,12,12,3,2,43,0,0
2018,12,12,3,2,44,0,0
2018,12,12,3,2,45,0,0
2018,12,12,3,2,46,0,0
2018,12,12,3,2,47,0,0
2018,12,12,3,2,48,0,0
2018,12,12,3,2,49,0,0
2018,12,12,3,2,50,0,0
2018,12,12,3,2,51,0,0
2018,12,12,3,2,52,0,0
2018,12,12,3,2,53,0,0
2018,12,12,3,2,54,0,0
2018,12,12,3,2,55,0,0
2018,12,12,3,2,56,0,0
2018,12,12,3,2,57,0,0
2018,12,12,3,2,58,0,0
2018,12,12,3,2,59,0,0
2018,12,12,3,3,3,0,0
2018,12,12,3,3,4,0,0
2018,12,12,3,3,5,0,0
2018,12,12,3,3,6,0,0
2018,12,12,3,3,7,0,0
2018,12,12,3,3,8,0,0
2018,12,12,3,3,9,0,0
2018,12,12,3,3,10,0,0
2018,12,12,3,3,11,0,0
2018,12,12,3,3,12,0,0
2018,12,12,3,3,13,0,0
2018,12,12,3,3,14,0,0
2018,12,12,3,3,15,0,0
2018,12,12,3,3,16,0,0
2018,12,12,3,3,17,0,0
2018,12,12,3,3,18,0,0
2018,12,12,3,3,19,0,0
2018,12,12,3,3,20,0,0
2018,12,12,3,3,21,0,0
2018,12,12,3,3,22,0,0
2018,12,12,3,3,23,0,0
2018,12,12,3,3,24,0,0
2018,12,12,3,3,25,0,0
2018,12,12,3,3,26,0,0
2018,12,12,3,3,27,0,0
2018,12,12,3,3,28,0,0
2018,12,12,3,3,29,0,0
2018,12,12,3,3,30,0,0
2018,12,12,3,3,31,0,0
2018,12,12,3,3,32,0,0
2018,12,12,3,3,33,0,0
2018,12,12,3,3,34,0,0
2018,12,12,3,3,35,0,0
2018,12,12,3,3,36,0,0
2018,12,12,3,3,37,0,0
2018,12,12,3,3,38,0,0
2018,12,12,3,3,39,0,0
2018,12,12,3,3,40,0,0
2018,12,12,3,3,41,0,0
2018,12,12,3,3,42,0,0
2018,12,12,3,3,43,0,0
2018,12,12,3,3,44,0,0
2018,12,12,3,3,45,0,0
2018,12,12,3,3,46,0,0
2018,12,12,3,3,47,0,0
2018,12,12,3,3,48,0,0
2018,12,12,3,3,49,0,0
2018,12,12,3,3,50,0,0
2018,12,12,3,3,51,0,0
2018,12,12,3,3,52,0,0
2018,12,12,3,3,53,0,0
2018,12,12,3,3,54,0,0
2018,12,12,3,3,55,0,0
2018,12,12,3,3,56,0,0
2018,12,12,3,3,57,0,0
2018,12,12,3,3,58,0,0
2018,12,12,3,3,59,0,0
2018,12,12,3,4,0,0,0
2018,12,12,3,4,1,0,0
2018,12,12,3,4,2,0,0
2018,12,12,3,4,3,0,0
2018,12,12,3,4,4,0,0
2018,12,12,3,4,5,0,0
2018,12,12,3,4,6,0,0
2018,12,12,3,4,7,0,0
2018,12,12,3,4,9,0,0
2018,12,12,3,4,10,0,0
2018,12,12,3,4,11,0,0
2018,12,12,3,4,12,0,0
2018,12,12,3,4,13,0,0
2018,12,12,3,4,14,0,0
2018,12,12,3,4,15,0,0
2018,12,12,3,4,16,0,0
2018,12,12,3,4,17,0,0
2018,12,12,3,4,18,0,0
2018,12,12,3,4,19,0,0
2018,12,12,3,4,20,0,0
2018,12,12,3,4,21,0,0
2018,12,12,3,4,22,0,0
2018,12,12,3,4,23,0,0
2018,12,12,3,4,24,0,0
2018,12,12,3,4,25,0,0
2018,12,12,3,4,26,0,0
2018,12,12,3,4,27,0,0
2018,12,12,3,4,28,0,0
2018,12,12,3,4,29,0,0
2018,12,12,3,4,30,0,0
2018,12,12,3,4,31,0,0
2018,12,12,3,4,32,0,0
2018,12,12,3,4,33,0,0
2018,12,12,3,4,34,0,0
2018,12,12,3,4,35,0,0
2018,12,12,3,4,36,0,0
2018,12,12,3,4,37,0,0
2018,12,12,3,4,38,0,0
2018,12,12,3,4,39,0,0
2018,12,12,3,4,40,0,0
2018,12,12,3,4,41,0,0
2018,12,12,3,4,42,0,0
2018,12,12,3,4,43,0,0
2018,12,12,3,4,44,0,0
2018,12,12,3,4,45,0,0
2018,12,12,3,4,46,0,0
2018,12,12,3,4,47,0,0
2018,12,12,3,4,48,0,0
2018,12,12,3,4,49,0,0
2018,12,12,3,4,50,0,0
2018,12,12,3,4,51,0,0
2018,12,12,3,4,52,0,0
2018,12,12,3,4,53,0,0
2018,12,12,3,4,54,0,0
2018,12,12,3,4,55,0,0
2018,12,12,3,4,56,0,0
2018,12,12,3,4,57,0,0
2018,12,12,3,4,58,0,0
2018,12,12,3,4,59,0,0
2018,12,12,3,5,0,0,0
2018,12,12,3,5,1,0,0
2018,12,12,3,5,2,0,0
2018,12,12,3,5,3,0,0
2018,12,12,3,5,4,0,0
2018,12,12,3,5,5,0,0
2018,12,12,3,5,6,0,0
2018,12,12,3,5,7,0,0
2018,12,12,3,5,8,0,0
2018,12,12,3,5,9,0,0
2018,12,12,3,5,10,0,0
2018,12,12,3,5,11,0,0
2018,12,12,3,5,12,0,0
2018,12,12,3,5,13,0,0
2018,12,12,3,5,14,0,0
2018,12,12,3,5,15,0,0
2018,12,12,3,5,16,0,0
2018,12,12,3,5,17,0,0
2018,12,12,3,5,18,0,0
2018,12,12,3,5,19,0,0
2018,12,12,3,5,20,0,0
2018,12,12,3,5,21,0,0
2018,12,12,3,5,22,0,0
2018,12,12,3,5,23,0,0
2018,12,12,3,5,24,0,0
2018,12,12,3,5,25,0,0
2018,12,12,3,5,26,0,0
2018,12,12,3,5,28,0,0
